session_id,session_number,username,session_start,session_end,session_date,year,month_number,weekday_number,start_hour,end_hour,day_part_start,is_weekend,plays_count,duration_minutes,active_hours_count,month,weekday,weekend
1,1,Babs_05,2021-01-01 00:02:00,2021-01-01 01:06:00,2021-01-01,2021,1,4,0,1,Ночь,False,21,64,2,Январь,Пятница,Будни
2,2,Babs_05,2021-01-01 04:21:00,2021-01-01 04:21:00,2021-01-01,2021,1,4,4,4,Ночь,False,1,0,1,Январь,Пятница,Будни
3,3,Babs_05,2021-01-01 12:00:00,2021-01-01 12:00:00,2021-01-01,2021,1,4,12,12,День,False,1,0,1,Январь,Пятница,Будни
4,4,Babs_05,2021-01-01 15:37:00,2021-01-01 15:59:00,2021-01-01,2021,1,4,15,15,День,False,5,22,1,Январь,Пятница,Будни
5,5,Babs_05,2021-01-01 17:21:00,2021-01-01 17:26:00,2021-01-01,2021,1,4,17,17,День,False,2,5,1,Январь,Пятница,Будни
6,6,Babs_05,2021-01-01 22:52:00,2021-01-02 01:03:00,2021-01-01,2021,1,4,22,1,Вечер,False,38,131,4,Январь,Пятница,Будни
7,7,Babs_05,2021-01-02 14:19:00,2021-01-02 14:31:00,2021-01-02,2021,1,5,14,14,День,True,4,12,1,Январь,Суббота,Выходные
8,8,Babs_05,2021-01-02 15:41:00,2021-01-02 17:16:00,2021-01-02,2021,1,5,15,17,День,True,16,95,3,Январь,Суббота,Выходные
9,9,Babs_05,2021-01-02 18:32:00,2021-01-02 18:45:00,2021-01-02,2021,1,5,18,18,Вечер,True,4,13,1,Январь,Суббота,Выходные
10,10,Babs_05,2021-01-02 21:10:00,2021-01-02 21:46:00,2021-01-02,2021,1,5,21,21,Вечер,True,5,36,1,Январь,Суббота,Выходные
11,11,Babs_05,2021-01-03 00:53:00,2021-01-03 00:53:00,2021-01-03,2021,1,6,0,0,Ночь,True,1,0,1,Январь,Воскресенье,Выходные
12,12,Babs_05,2021-01-03 03:14:00,2021-01-03 03:14:00,2021-01-03,2021,1,6,3,3,Ночь,True,1,0,1,Январь,Воскресенье,Выходные
13,13,Babs_05,2021-01-03 04:16:00,2021-01-03 04:16:00,2021-01-03,2021,1,6,4,4,Ночь,True,1,0,1,Январь,Воскресенье,Выходные
14,14,Babs_05,2021-01-03 12:34:00,2021-01-03 13:22:00,2021-01-03,2021,1,6,12,13,День,True,29,48,2,Январь,Воскресенье,Выходные
15,15,Babs_05,2021-01-03 15:42:00,2021-01-03 16:16:00,2021-01-03,2021,1,6,15,16,День,True,10,34,2,Январь,Воскресенье,Выходные
16,16,Babs_05,2021-01-03 16:50:00,2021-01-03 17:05:00,2021-01-03,2021,1,6,16,17,День,True,2,15,2,Январь,Воскресенье,Выходные
17,17,Babs_05,2021-01-03 19:23:00,2021-01-03 19:55:00,2021-01-03,2021,1,6,19,19,Вечер,True,8,32,1,Январь,Воскресенье,Выходные
18,18,Babs_05,2021-01-04 06:19:00,2021-01-04 07:25:00,2021-01-04,2021,1,0,6,7,Утро,False,10,66,2,Январь,Понедельник,Будни
19,19,Babs_05,2021-01-04 11:55:00,2021-01-04 12:18:00,2021-01-04,2021,1,0,11,12,Утро,False,7,23,2,Январь,Понедельник,Будни
20,20,Babs_05,2021-01-04 16:43:00,2021-01-04 17:01:00,2021-01-04,2021,1,0,16,17,День,False,6,18,2,Январь,Понедельник,Будни
21,21,Babs_05,2021-01-04 18:08:00,2021-01-04 18:08:00,2021-01-04,2021,1,0,18,18,Вечер,False,1,0,1,Январь,Понедельник,Будни
22,22,Babs_05,2021-01-04 21:25:00,2021-01-04 21:38:00,2021-01-04,2021,1,0,21,21,Вечер,False,6,13,1,Январь,Понедельник,Будни
23,23,Babs_05,2021-01-04 23:49:00,2021-01-04 23:58:00,2021-01-04,2021,1,0,23,23,Вечер,False,3,9,1,Январь,Понедельник,Будни
24,24,Babs_05,2021-01-05 01:55:00,2021-01-05 01:55:00,2021-01-05,2021,1,1,1,1,Ночь,False,1,0,1,Январь,Вторник,Будни
25,25,Babs_05,2021-01-05 09:04:00,2021-01-05 11:18:00,2021-01-05,2021,1,1,9,11,Утро,False,29,134,3,Январь,Вторник,Будни
26,26,Babs_05,2021-01-05 13:43:00,2021-01-05 13:59:00,2021-01-05,2021,1,1,13,13,День,False,5,16,1,Январь,Вторник,Будни
27,27,Babs_05,2021-01-05 15:44:00,2021-01-05 15:44:00,2021-01-05,2021,1,1,15,15,День,False,1,0,1,Январь,Вторник,Будни
28,28,Babs_05,2021-01-05 17:53:00,2021-01-05 18:36:00,2021-01-05,2021,1,1,17,18,День,False,6,43,2,Январь,Вторник,Будни
29,29,Babs_05,2021-01-06 00:16:00,2021-01-06 00:52:00,2021-01-06,2021,1,2,0,0,Ночь,False,9,36,1,Январь,Среда,Будни
30,30,Babs_05,2021-01-06 01:32:00,2021-01-06 02:39:00,2021-01-06,2021,1,2,1,2,Ночь,False,13,67,2,Январь,Среда,Будни
31,31,Babs_05,2021-01-06 04:18:00,2021-01-06 04:18:00,2021-01-06,2021,1,2,4,4,Ночь,False,1,0,1,Январь,Среда,Будни
32,32,Babs_05,2021-01-06 05:54:00,2021-01-06 05:54:00,2021-01-06,2021,1,2,5,5,Ночь,False,1,0,1,Январь,Среда,Будни
33,33,Babs_05,2021-01-06 10:40:00,2021-01-06 10:40:00,2021-01-06,2021,1,2,10,10,Утро,False,1,0,1,Январь,Среда,Будни
34,34,Babs_05,2021-01-06 16:12:00,2021-01-06 16:43:00,2021-01-06,2021,1,2,16,16,День,False,8,31,1,Январь,Среда,Будни
35,35,Babs_05,2021-01-06 17:30:00,2021-01-06 17:30:00,2021-01-06,2021,1,2,17,17,День,False,1,0,1,Январь,Среда,Будни
36,36,Babs_05,2021-01-06 18:35:00,2021-01-06 18:35:00,2021-01-06,2021,1,2,18,18,Вечер,False,1,0,1,Январь,Среда,Будни
37,37,Babs_05,2021-01-06 22:26:00,2021-01-06 22:26:00,2021-01-06,2021,1,2,22,22,Вечер,False,1,0,1,Январь,Среда,Будни
38,38,Babs_05,2021-01-07 07:21:00,2021-01-07 08:42:00,2021-01-07,2021,1,3,7,8,Утро,False,25,81,2,Январь,Четверг,Будни
39,39,Babs_05,2021-01-07 10:30:00,2021-01-07 11:16:00,2021-01-07,2021,1,3,10,11,Утро,False,3,46,2,Январь,Четверг,Будни
40,40,Babs_05,2021-01-07 13:25:00,2021-01-07 14:19:00,2021-01-07,2021,1,3,13,14,День,False,9,54,2,Январь,Четверг,Будни
