username,date_only,year,month_number,weekday_number,is_weekend,has_activity,plays_count,first_play_time,last_play_time,active_hours_count,morning_plays,day_plays,evening_plays,night_plays,month,weekday,weekend
Babs_05,2021-01-01,2021,1,4,False,True,52,00:02:00,23:59:00,8,0,8,22,22,Январь,Пятница,Будни
Babs_05,2021-01-02,2021,1,5,True,True,45,00:02:00,21:46:00,8,0,20,9,16,Январь,Суббота,Выходные
Babs_05,2021-01-03,2021,1,6,True,True,52,00:53:00,19:55:00,9,0,41,8,3,Январь,Воскресенье,Выходные
Babs_05,2021-01-04,2021,1,0,False,True,33,06:19:00,23:58:00,9,12,11,10,0,Январь,Понедельник,Будни
Babs_05,2021-01-05,2021,1,1,False,True,42,01:55:00,18:36:00,8,29,8,4,1,Январь,Вторник,Будни
Babs_05,2021-01-06,2021,1,2,False,True,36,00:16:00,22:26:00,10,1,9,2,24,Январь,Среда,Будни
Babs_05,2021-01-07,2021,1,3,False,True,39,07:21:00,22:35:00,7,28,9,2,0,Январь,Четверг,Будни
Babs_05,2021-01-08,2021,1,4,False,True,40,03:03:00,23:59:00,13,11,9,16,4,Январь,Пятница,Будни
Babs_05,2021-01-09,2021,1,5,True,True,94,00:04:00,23:59:00,13,4,50,25,15,Январь,Суббота,Выходные
Babs_05,2021-01-10,2021,1,6,True,True,83,00:03:00,23:46:00,21,13,11,32,27,Январь,Воскресенье,Выходные
Babs_05,2021-01-11,2021,1,0,False,True,102,00:36:00,23:18:00,14,25,17,39,21,Январь,Понедельник,Будни
Babs_05,2021-01-12,2021,1,1,False,True,100,02:25:00,22:25:00,11,19,10,62,9,Январь,Вторник,Будни
Babs_05,2021-01-13,2021,1,2,False,True,116,01:31:00,23:57:00,17,3,18,42,53,Январь,Среда,Будни
Babs_05,2021-01-14,2021,1,3,False,True,101,00:01:00,23:58:00,12,0,17,62,22,Январь,Четверг,Будни
Babs_05,2021-01-15,2021,1,4,False,True,123,00:03:00,23:24:00,19,17,50,43,13,Январь,Пятница,Будни
Babs_05,2021-01-16,2021,1,5,True,True,149,00:13:00,23:00:00,19,35,32,66,16,Январь,Суббота,Выходные
Babs_05,2021-01-17,2021,1,6,True,True,180,01:05:00,21:51:00,16,5,67,70,38,Январь,Воскресенье,Выходные
Babs_05,2021-01-18,2021,1,0,False,True,160,00:38:00,23:56:00,18,53,43,54,10,Январь,Понедельник,Будни
Babs_05,2021-01-19,2021,1,1,False,True,245,00:00:00,23:30:00,21,15,82,65,83,Январь,Вторник,Будни
Babs_05,2021-01-20,2021,1,2,False,True,136,00:02:00,23:22:00,17,27,64,36,9,Январь,Среда,Будни
Babs_05,2021-01-21,2021,1,3,False,True,226,00:09:00,23:57:00,20,37,105,78,6,Январь,Четверг,Будни
Babs_05,2021-01-22,2021,1,4,False,True,366,00:00:00,23:56:00,24,42,103,95,126,Январь,Пятница,Будни
Babs_05,2021-01-23,2021,1,5,True,True,433,00:00:00,23:12:00,21,102,160,122,49,Январь,Суббота,Выходные
Babs_05,2021-01-24,2021,1,6,True,True,237,00:33:00,23:58:00,21,31,118,57,31,Январь,Воскресенье,Выходные
Babs_05,2021-01-25,2021,1,0,False,True,540,00:11:00,23:59:00,23,68,265,138,69,Январь,Понедельник,Будни
Babs_05,2021-01-26,2021,1,1,False,True,886,00:03:00,23:59:00,24,178,381,169,158,Январь,Вторник,Будни
Babs_05,2021-01-27,2021,1,2,False,True,1342,00:00:00,23:59:00,24,360,435,354,193,Январь,Среда,Будни
Babs_05,2021-01-28,2021,1,3,False,True,1738,00:00:00,23:59:00,24,281,724,543,190,Январь,Четверг,Будни
Babs_05,2021-01-29,2021,1,4,False,True,3816,00:01:00,23:59:00,24,699,1367,1492,258,Январь,Пятница,Будни
Babs_05,2021-01-30,2021,1,5,True,True,5881,00:00:00,23:59:00,24,974,1760,2176,971,Январь,Суббота,Выходные
Babs_05,2021-01-31,2021,1,6,True,True,16302,00:00:00,23:59:00,24,2237,4786,7498,1781,Январь,Воскресенье,Выходные
Knapster01,2021-01-01,2021,1,4,False,True,49,00:02:00,19:04:00,8,3,27,1,18,Январь,Пятница,Будни
Knapster01,2021-01-02,2021,1,5,True,True,21,00:03:00,18:45:00,6,10,6,4,1,Январь,Суббота,Выходные
Knapster01,2021-01-03,2021,1,6,True,True,50,01:26:00,19:55:00,8,1,40,8,1,Январь,Воскресенье,Выходные
Knapster01,2021-01-04,2021,1,0,False,False,0,,,0,0,0,0,0,Январь,Понедельник,Будни
Knapster01,2021-01-05,2021,1,1,False,True,66,00:22:00,18:36:00,11,24,23,5,14,Январь,Вторник,Будни
Knapster01,2021-01-06,2021,1,2,False,True,101,05:59:00,22:36:00,11,43,48,9,1,Январь,Среда,Будни
Knapster01,2021-01-07,2021,1,3,False,True,16,08:28:00,21:41:00,8,3,6,7,0,Январь,Четверг,Будни
Knapster01,2021-01-08,2021,1,4,False,True,80,06:13:00,23:59:00,13,13,43,24,0,Январь,Пятница,Будни
Knapster01,2021-01-09,2021,1,5,True,True,52,00:04:00,23:59:00,12,21,18,8,5,Январь,Суббота,Выходные
Knapster01,2021-01-10,2021,1,6,True,True,49,00:03:00,23:46:00,13,21,12,12,4,Январь,Воскресенье,Выходные
Knapster01,2021-01-11,2021,1,0,False,True,56,09:16:00,22:06:00,12,18,29,9,0,Январь,Понедельник,Будни
Knapster01,2021-01-12,2021,1,1,False,True,24,11:22:00,21:41:00,6,1,20,3,0,Январь,Вторник,Будни
Knapster01,2021-01-13,2021,1,2,False,True,63,01:31:00,23:45:00,12,4,19,31,9,Январь,Среда,Будни
Knapster01,2021-01-14,2021,1,3,False,True,83,11:05:00,23:40:00,9,3,18,62,0,Январь,Четверг,Будни
Knapster01,2021-01-15,2021,1,4,False,True,102,08:32:00,23:24:00,12,28,51,23,0,Январь,Пятница,Будни
Knapster01,2021-01-16,2021,1,5,True,True,101,00:13:00,23:58:00,19,10,21,50,20,Январь,Суббота,Выходные
Knapster01,2021-01-17,2021,1,6,True,True,179,00:01:00,22:36:00,17,24,61,59,35,Январь,Воскресенье,Выходные
Knapster01,2021-01-18,2021,1,0,False,True,110,02:37:00,23:59:00,13,36,17,50,7,Январь,Понедельник,Будни
Knapster01,2021-01-19,2021,1,1,False,True,148,00:04:00,22:23:00,17,16,6,68,58,Январь,Вторник,Будни
Knapster01,2021-01-20,2021,1,2,False,True,127,00:42:00,23:35:00,18,25,53,44,5,Январь,Среда,Будни
Knapster01,2021-01-21,2021,1,3,False,True,247,00:29:00,23:36:00,21,27,115,53,52,Январь,Четверг,Будни
Knapster01,2021-01-22,2021,1,4,False,True,420,00:09:00,23:47:00,24,64,90,101,165,Январь,Пятница,Будни
Knapster01,2021-01-23,2021,1,5,True,True,448,00:12:00,23:58:00,21,34,136,184,94,Январь,Суббота,Выходные
Knapster01,2021-01-24,2021,1,6,True,True,402,00:00:00,23:59:00,21,87,175,105,35,Январь,Воскресенье,Выходные
Knapster01,2021-01-25,2021,1,0,False,True,573,00:05:00,23:59:00,24,82,200,188,103,Январь,Понедельник,Будни
Knapster01,2021-01-26,2021,1,1,False,True,748,00:03:00,23:59:00,24,153,328,128,139,Январь,Вторник,Будни
Knapster01,2021-01-27,2021,1,2,False,True,1023,00:01:00,23:59:00,24,239,279,376,129,Январь,Среда,Будни
Knapster01,2021-01-28,2021,1,3,False,True,1654,00:00:00,23:59:00,24,265,590,587,212,Январь,Четверг,Будни
Knapster01,2021-01-29,2021,1,4,False,True,3830,00:00:00,23:59:00,24,600,1515,1287,428,Январь,Пятница,Будни
Knapster01,2021-01-30,2021,1,5,True,True,4505,00:00:00,23:59:00,24,763,1192,1809,741,Январь,Суббота,Выходные
Knapster01,2021-01-31,2021,1,6,True,True,11688,00:00:00,23:59:00,24,1937,3529,5089,1133,Январь,Воскресенье,Выходные
Orlenay,2021-01-01,2021,1,4,False,True,29,00:02:00,21:33:00,7,1,9,2,17,Январь,Пятница,Будни
Orlenay,2021-01-02,2021,1,5,True,True,73,00:03:00,19:57:00,9,0,45,4,24,Январь,Суббота,Выходные
Orlenay,2021-01-03,2021,1,6,True,True,31,11:10:00,22:42:00,5,10,5,16,0,Январь,Воскресенье,Выходные
Orlenay,2021-01-04,2021,1,0,False,True,19,16:58:00,23:35:00,4,0,11,8,0,Январь,Понедельник,Будни
Orlenay,2021-01-05,2021,1,1,False,True,26,10:53:00,23:23:00,5,8,5,13,0,Январь,Вторник,Будни
Orlenay,2021-01-06,2021,1,2,False,True,60,06:02:00,22:29:00,6,13,39,8,0,Январь,Среда,Будни
