username,total_plays,active_days,inactive_days,active_days_share,avg_daily_plays,median_daily_plays,min_daily_plays,max_daily_plays,std_daily_plays,morning_share,day_share,evening_share,night_share,weekday_share,weekend_share,main_day_part,peak_hour,active_hours_count,session_count,avg_session_length,median_session_length,max_session_length,avg_plays_per_session,max_plays_per_session,longest_active_streak,longest_inactive_streak
Babs_05,33695,31,0,1.0,1086.935484,136,33,16302,3031.310607,0.157471,0.319929,0.397418,0.125182,0.303873,0.696127,Вечер,18,24,203,100.039409,27,6794,165.985222,28884,31,0
Knapster01,27015,30,1,0.967742,900.5,102,0,11688,2224.858152,0.16861,0.320822,0.384379,0.126189,0.352397,0.647603,Вечер,22,24,176,110.0625,23,6833,153.494318,22571,27,1
Orlenay,10123,31,0,1.0,326.548387,73,2,3667,721.742195,0.159241,0.357602,0.383977,0.09918,0.380915,0.619085,Вечер,18,24,151,94.675497,23,2303,67.039735,5310,31,0
eartle,20966,31,0,1.0,676.322581,129,19,7878,1532.639772,0.161833,0.367404,0.365353,0.105409,0.41677,0.58323,День,18,24,171,113.181287,28,5479,122.608187,15676,31,0
franhale,32712,31,0,1.0,1055.225806,198,4,15177,2836.126376,0.168959,0.319241,0.394167,0.117633,0.322664,0.677336,Вечер,22,24,191,111.094241,19,6778,171.267016,27802,31,0
isaac,1780,25,6,0.806452,71.2,21,0,403,104.8239,0.210674,0.419663,0.28764,0.082022,0.547191,0.452809,День,13,24,94,57.5,22,876,18.93617,355,18,2
jajo,1102,17,14,0.548387,64.823529,2,0,277,73.024891,0.215064,0.393829,0.283122,0.107985,0.469147,0.530853,День,16,24,49,73.44898,44,509,22.489796,178,7,7
jonocole,17230,31,0,1.0,555.806452,131,9,5424,1154.833193,0.164306,0.356007,0.359025,0.120662,0.431921,0.568079,Вечер,18,24,166,109.536145,31,5342,103.795181,12484,31,0
lobsterclaw,1063,17,14,0.548387,62.529412,2,0,258,68.03329,0.21825,0.365945,0.293509,0.122295,0.496707,0.503293,День,18,24,52,68.576923,50,400,20.442308,131,7,7
massdosage,19015,31,0,1.0,613.387097,93,2,7420,1461.426737,0.161609,0.352143,0.375177,0.11107,0.373547,0.626453,Вечер,18,24,162,106.783951,30,5342,117.376543,14610,31,0
mremond,1452,17,14,0.548387,85.411765,2,0,509,110.425598,0.232094,0.366391,0.287879,0.113636,0.380854,0.619146,День,16,24,50,84.06,50,732,29.04,378,7,7
