username,weekday_number,hour,day_part,is_weekend,plays_count,plays_share_user,weekday,weekend
Babs_05,0,0,Ночь,False,26,0.000772,Понедельник,Будни
Babs_05,0,1,Ночь,False,43,0.001276,Понедельник,Будни
Babs_05,0,2,Ночь,False,17,0.000505,Понедельник,Будни
Babs_05,0,3,Ночь,False,9,0.000267,Понедельник,Будни
Babs_05,0,4,Ночь,False,1,3e-05,Понедельник,Будни
Babs_05,0,5,Ночь,False,4,0.000119,Понедельник,Будни
Babs_05,0,6,Утро,False,7,0.000208,Понедельник,Будни
Babs_05,0,7,Утро,False,20,0.000594,Понедельник,Будни
Babs_05,0,8,Утро,False,11,0.000326,Понедельник,Будни
Babs_05,0,9,Утро,False,20,0.000594,Понедельник,Будни
Babs_05,0,10,Утро,False,35,0.001039,Понедельник,Будни
Babs_05,0,11,Утро,False,65,0.001929,Понедельник,Будни
Babs_05,0,12,День,False,37,0.001098,Понедельник,Будни
Babs_05,0,13,День,False,71,0.002107,Понедельник,Будни
Babs_05,0,14,День,False,61,0.00181,Понедельник,Будни
Babs_05,0,15,День,False,51,0.001514,Понедельник,Будни
Babs_05,0,16,День,False,42,0.001246,Понедельник,Будни
Babs_05,0,17,День,False,74,0.002196,Понедельник,Будни
Babs_05,0,18,Вечер,False,64,0.001899,Понедельник,Будни
Babs_05,0,19,Вечер,False,43,0.001276,Понедельник,Будни
Babs_05,0,20,Вечер,False,23,0.000683,Понедельник,Будни
Babs_05,0,21,Вечер,False,51,0.001514,Понедельник,Будни
Babs_05,0,22,Вечер,False,35,0.001039,Понедельник,Будни
Babs_05,0,23,Вечер,False,25,0.000742,Понедельник,Будни
Babs_05,1,0,Ночь,False,53,0.001573,Вторник,Будни
Babs_05,1,1,Ночь,False,41,0.001217,Вторник,Будни
Babs_05,1,2,Ночь,False,48,0.001425,Вторник,Будни
Babs_05,1,3,Ночь,False,47,0.001395,Вторник,Будни
Babs_05,1,4,Ночь,False,29,0.000861,Вторник,Будни
Babs_05,1,5,Ночь,False,33,0.000979,Вторник,Будни
Babs_05,1,6,Утро,False,12,0.000356,Вторник,Будни
Babs_05,1,7,Утро,False,31,0.00092,Вторник,Будни
